month,region,product,product_name,revenue,units,orders
2009-12,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,145.0,100,1
2009-12,Ireland (EIRE),22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003,6,1
2009-12,Ireland (EIRE),22197,SMALL POPCORN HOLDER,51.0,60,2
2009-12,Ireland (EIRE),79321,CHILLI LIGHTS,19.8,4,1
2009-12,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,13.52,8,1
2009-12,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,19.5,10,1
2009-12,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,333.3,126,4
2009-12,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,18346.670000000002,9092,18
2009-12,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,161.5,110,2
2009-12,Rest of Europe,22197,SMALL POPCORN HOLDER,20.4,24,2
2009-12,Rest of Europe,47566,PARTY BUNTING,23.25,5,1
2009-12,Rest of Europe,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1008.0,480,1
2009-12,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,216.32,128,7
2009-12,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,214.5,110,6
2009-12,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1383.3,534,6
2009-12,Rest of Europe,ALL OTHER PRODUCTS,All other products,48276.85,27503,60
2009-12,Rest of World,ALL OTHER PRODUCTS,All other products,788.8000000000001,680,3
2009-12,United Kingdom,20725,LUNCH BAG RED RETROSPOT,1317.1,767,85
2009-12,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10151.66,3356,183
2009-12,United Kingdom,22197,SMALL POPCORN HOLDER,1123.3,1392,46
2009-12,United Kingdom,47566,PARTY BUNTING,569.45,113,28
2009-12,United Kingdom,79321,CHILLI LIGHTS,2259.49,483,51
2009-12,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3346.73,1427,43
2009-12,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,7394.09,4506,99
2009-12,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,6467.5,3651,128
2009-12,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15538.75,5746,294
2009-12,United Kingdom,ALL OTHER PRODUCTS,All other products,678693.68,364797,1564
2010-01,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,89.0,60,2
2010-01,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,495.0,300,1
2010-01,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,496.5,190,3
2010-01,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,57588.98,30237,13
2010-01,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,422.0,280,7
2010-01,Rest of Europe,22197,SMALL POPCORN HOLDER,26.349999999999998,31,2
2010-01,Rest of Europe,47566,PARTY BUNTING,271.5,70,2
2010-01,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,299.59999999999997,200,5
2010-01,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,1296.0,760,11
2010-01,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1511.1,586,6
2010-01,Rest of Europe,ALL OTHER PRODUCTS,All other products,63382.96,99356,48
2010-01,Rest of World,20725,LUNCH BAG RED RETROSPOT,6.6,4,1
2010-01,Rest of World,22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003,6,1
2010-01,Rest of World,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20.650000000000002,7,1
2010-01,Rest of World,ALL OTHER PRODUCTS,All other products,3277.69,1709,7
2010-01,United Kingdom,20725,LUNCH BAG RED RETROSPOT,1813.52,1145,73
2010-01,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,95.72,17,10
2010-01,United Kingdom,22197,SMALL POPCORN HOLDER,563.89,706,30
2010-01,United Kingdom,22386,JUMBO BAG PINK POLKADOT,192.3,114,3
2010-01,United Kingdom,47566,PARTY BUNTING,1313.8,276,41
2010-01,United Kingdom,79321,CHILLI LIGHTS,224.10000000000002,40,10
2010-01,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,50.599999999999994,10,3
2010-01,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,2335.0099999999998,1309,53
2010-01,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,4497.81,2512,96
2010-01,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12672.539999999999,4701,253
2010-01,United Kingdom,ALL OTHER PRODUCTS,All other products,459336.5,245786,977
2010-02,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,145.0,100,1
2010-02,Ireland (EIRE),22197,SMALL POPCORN HOLDER,72.0,100,1
2010-02,Ireland (EIRE),22386,JUMBO BAG PINK POLKADOT,19.5,10,1
2010-02,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,13.52,8,1
2010-02,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,152.4,56,3
2010-02,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,20012.78,11352,16
2010-02,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,422.0,280,8
2010-02,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,526.95,301,9
2010-02,Rest of Europe,47566,PARTY BUNTING,46.5,10,2
2010-02,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,81.12,48,2
2010-02,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,97.5,50,3
2010-02,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,525.0,204,2
2010-02,Rest of Europe,ALL OTHER PRODUCTS,All other products,64875.65,123278,73
2010-02,Rest of World,20725,LUNCH BAG RED RETROSPOT,18.15,11,2
2010-02,Rest of World,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35.400000000000006,12,2
2010-02,Rest of World,ALL OTHER PRODUCTS,All other products,4859.21,3190,10
2010-02,United Kingdom,20725,LUNCH BAG RED RETROSPOT,1574.93,961,77
2010-02,United Kingdom,22197,SMALL POPCORN HOLDER,1101.81,1475,30
2010-02,United Kingdom,22386,JUMBO BAG PINK POLKADOT,2881.89,1607,92
2010-02,United Kingdom,47566,PARTY BUNTING,1638.47,331,64
2010-02,United Kingdom,79321,CHILLI LIGHTS,113.25,25,5
2010-02,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,15.18,3,1
2010-02,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,2591.39,1603,62
2010-02,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,4618.8,2602,113
2010-02,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7317.77,2639,198
2010-02,United Kingdom,ALL OTHER PRODUCTS,All other products,424153.5,231364,1089
2010-03,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,161.5,110,2
2010-03,Ireland (EIRE),22197,SMALL POPCORN HOLDER,20.4,24,2
2010-03,Ireland (EIRE),22386,JUMBO BAG PINK POLKADOT,19.5,10,1
2010-03,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,200.7,18,2
2010-03,Ireland (EIRE),47566,PARTY BUNTING,23.25,5,1
2010-03,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,27.04,16,2
2010-03,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,58.5,30,3
2010-03,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,251.7,94,4
2010-03,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,21015.71,14481,24
2010-03,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,49.5,30,3
2010-03,Rest of Europe,22197,SMALL POPCORN HOLDER,51.0,60,2
2010-03,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,583.5,330,10
2010-03,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,1191.4499999999998,107,5
2010-03,Rest of Europe,47566,PARTY BUNTING,69.75,15,2
2010-03,Rest of Europe,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,10.2,4,1
2010-03,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,1209.76,784,11
2010-03,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,661.5,370,9
2010-03,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1014.6,396,3
2010-03,Rest of Europe,ALL OTHER PRODUCTS,All other products,63142.88,99562,91
2010-03,Rest of World,20725,LUNCH BAG RED RETROSPOT,52.8,32,3
2010-03,Rest of World,22386,JUMBO BAG PINK POLKADOT,19.5,10,1
2010-03,Rest of World,ALL OTHER PRODUCTS,All other products,3470.95,4452,7
2010-03,United Kingdom,20725,LUNCH BAG RED RETROSPOT,2440.9,1430,107
2010-03,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,59.03000000000001,17,5
2010-03,United Kingdom,22197,SMALL POPCORN HOLDER,1563.15,1426,53
2010-03,United Kingdom,22386,JUMBO BAG PINK POLKADOT,2527.95,1217,92
2010-03,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,8472.96,624,118
2010-03,United Kingdom,47566,PARTY BUNTING,4693.68,900,119
2010-03,United Kingdom,79321,CHILLI LIGHTS,1587.4499999999998,407,10
2010-03,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,3992.77,2533,113
2010-03,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,5170.14,2858,144
2010-03,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12956.6,4576,262
2010-03,United Kingdom,ALL OTHER PRODUCTS,All other products,624935.66,388114,1515
2010-04,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,161.5,110,2
2010-04,Ireland (EIRE),22197,SMALL POPCORN HOLDER,174.6,236,3
2010-04,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,713.55,65,5
2010-04,Ireland (EIRE),47566,PARTY BUNTING,429.75,111,3
2010-04,Ireland (EIRE),79321,CHILLI LIGHTS,19.8,4,1
2010-04,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,40.56,24,1
2010-04,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,99.3,38,2
2010-04,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,21693.670000000002,13146,18
2010-04,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,194.5,130,4
2010-04,Rest of Europe,22197,SMALL POPCORN HOLDER,10.2,12,1
2010-04,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,234.0,120,8
2010-04,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,591.0,52,9
2010-04,Rest of Europe,47566,PARTY BUNTING,297.6,64,6
2010-04,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,299.6,200,4
2010-04,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,564.0,320,8
2010-04,Rest of Europe,ALL OTHER PRODUCTS,All other products,60958.17,46251,84
2010-04,Rest of World,20725,LUNCH BAG RED RETROSPOT,33.0,20,2
2010-04,Rest of World,22086,PAPER CHAIN KIT 50'S CHRISTMAS,53.1,18,1
2010-04,Rest of World,22386,JUMBO BAG PINK POLKADOT,58.5,30,2
2010-04,Rest of World,22423,REGENCY CAKESTAND 3 TIER,63.75,5,2
2010-04,Rest of World,85099B,JUMBO BAG RED RETROSPOT,58.5,30,2
2010-04,Rest of World,85123A,WHITE HANGING HEART T-LIGHT HOLDER,81.6,32,1
2010-04,Rest of World,ALL OTHER PRODUCTS,All other products,4024.58,2454,5
2010-04,United Kingdom,20725,LUNCH BAG RED RETROSPOT,1922.45,1185,107
2010-04,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2.95,1,1
2010-04,United Kingdom,22197,SMALL POPCORN HOLDER,1252.08,1585,57
2010-04,United Kingdom,22386,JUMBO BAG PINK POLKADOT,1739.8899999999999,969,67
2010-04,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,13014.789999999999,1045,214
2010-04,United Kingdom,47566,PARTY BUNTING,6291.5,1314,137
2010-04,United Kingdom,79321,CHILLI LIGHTS,2380.9700000000003,519,55
2010-04,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,15.299999999999999,6,1
2010-04,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,4394.25,2569,95
2010-04,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,6392.26,3596,135
2010-04,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9867.61,3627,224
2010-04,United Kingdom,ALL OTHER PRODUCTS,All other products,508212.05,286177,1310
2010-05,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,16.5,10,1
2010-05,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,579.9,50,8
2010-05,Ireland (EIRE),47566,PARTY BUNTING,74.4,16,3
2010-05,Ireland (EIRE),79321,CHILLI LIGHTS,79.2,16,2
2010-05,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,13.52,8,1
2010-05,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,29.25,15,2
2010-05,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,70.80000000000001,24,2
2010-05,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,17772.02,9608,18
2010-05,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,488.0,320,9
2010-05,Rest of Europe,22197,SMALL POPCORN HOLDER,24.65,29,2
2010-05,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,466.5,270,6
2010-05,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,1143.75,101,10
2010-05,Rest of Europe,47566,PARTY BUNTING,350.25,85,5
2010-05,Rest of Europe,79321,CHILLI LIGHTS,39.6,8,2
2010-05,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,340.15999999999997,224,5
2010-05,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,733.5,430,8
2010-05,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1200.4499999999998,459,12
2010-05,Rest of Europe,ALL OTHER PRODUCTS,All other products,66744.38,45121,77
2010-05,Rest of World,22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003,6,1
2010-05,Rest of World,ALL OTHER PRODUCTS,All other products,2297.27,1424,8
2010-05,United Kingdom,20725,LUNCH BAG RED RETROSPOT,2983.22,1890,120
2010-05,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,137.4,52,4
2010-05,United Kingdom,22197,SMALL POPCORN HOLDER,645.63,767,54
2010-05,United Kingdom,22386,JUMBO BAG PINK POLKADOT,2757.54,1588,86
2010-05,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,5048.23,389,109
2010-05,United Kingdom,47566,PARTY BUNTING,9256.86,2050,171
2010-05,United Kingdom,79321,CHILLI LIGHTS,979.5600000000001,210,29
2010-05,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,3204.0,1920,96
2010-05,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,5611.7,3168,134
2010-05,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10681.49,3947,232
2010-05,United Kingdom,ALL OTHER PRODUCTS,All other products,509704.6,321233,1369
2010-06,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,161.5,110,2
2010-06,Ireland (EIRE),22197,SMALL POPCORN HOLDER,339.0,460,4
2010-06,Ireland (EIRE),22386,JUMBO BAG PINK POLKADOT,19.5,10,1
2010-06,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,368.1,30,5
2010-06,Ireland (EIRE),47566,PARTY BUNTING,46.5,10,1
2010-06,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,19.5,10,1
2010-06,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,106.20000000000002,36,3
2010-06,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,21388.91,11631,23
2010-06,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,653.0,420,15
2010-06,Rest of Europe,22086,PAPER CHAIN KIT 50'S CHRISTMAS,23.6,8,2
2010-06,Rest of Europe,22197,SMALL POPCORN HOLDER,40.8,48,3
2010-06,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,757.5,450,7
2010-06,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,1220.25,107,9
2010-06,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,529.44,336,5
2010-06,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,1243.5,730,13
2010-06,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1002.8,392,4
2010-06,Rest of Europe,ALL OTHER PRODUCTS,All other products,59473.72,38134,82
2010-06,Rest of World,20725,LUNCH BAG RED RETROSPOT,33.0,20,1
2010-06,Rest of World,22086,PAPER CHAIN KIT 50'S CHRISTMAS,106.2,36,1
2010-06,Rest of World,22386,JUMBO BAG PINK POLKADOT,39.0,20,1
2010-06,Rest of World,22423,REGENCY CAKESTAND 3 TIER,51.0,4,1
2010-06,Rest of World,85099B,JUMBO BAG RED RETROSPOT,39.0,20,1
2010-06,Rest of World,ALL OTHER PRODUCTS,All other products,8243.1,6348,10
2010-06,United Kingdom,20725,LUNCH BAG RED RETROSPOT,2505.7599999999998,1484,149
2010-06,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,871.2199999999999,334,9
2010-06,United Kingdom,22197,SMALL POPCORN HOLDER,1029.98,1257,86
2010-06,United Kingdom,22386,JUMBO BAG PINK POLKADOT,2827.08,1510,104
2010-06,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,14938.179999999998,1214,217
2010-06,United Kingdom,47566,PARTY BUNTING,6134.84,1250,113
2010-06,United Kingdom,79321,CHILLI LIGHTS,1442.39,317,32
2010-06,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,15.18,3,1
2010-06,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,2522.7,1518,81
2010-06,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,6448.4,3552,179
2010-06,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10636.92,3915,245
2010-06,United Kingdom,ALL OTHER PRODUCTS,All other products,551305.42,330514,1484
2010-07,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,33.0,20,2
2010-07,Ireland (EIRE),22197,SMALL POPCORN HOLDER,51.0,60,2
2010-07,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,978.0,88,7
2010-07,Ireland (EIRE),79321,CHILLI LIGHTS,19.8,4,1
