origin,h,model,month,actual,pred
18,1,linreg_dummies,2011-06,737558.98,679803.34
18,2,linreg_dummies,2011-07,688219.34,616214.47
18,3,linreg_dummies,2011-08,724216.5,657257.87
18,1,loglin_fourier,2011-06,737558.98,625255.83
18,2,loglin_fourier,2011-07,688219.34,598517.53
18,3,loglin_fourier,2011-08,724216.5,687373.24
18,1,seasonal_naive,2011-06,737558.98,696583.19
18,2,seasonal_naive,2011-07,688219.34,632994.32
18,3,seasonal_naive,2011-08,724216.5,674037.72
18,1,naive,2011-06,737558.98,739938.15
18,2,naive,2011-07,688219.34,739938.15
18,3,naive,2011-08,724216.5,739938.15
19,1,linreg_dummies,2011-07,688219.34,624465.28
19,2,linreg_dummies,2011-08,724216.5,665508.68
19,3,linreg_dummies,2011-09,1028320.38,860714.08
19,1,loglin_fourier,2011-07,688219.34,635426.49
19,2,loglin_fourier,2011-08,724216.5,716675.86
19,3,loglin_fourier,2011-09,1028320.38,930147.76
19,1,seasonal_naive,2011-07,688219.34,632994.32
19,2,seasonal_naive,2011-08,724216.5,674037.72
19,3,seasonal_naive,2011-09,1028320.38,869243.12
19,1,naive,2011-07,688219.34,737558.98
19,2,naive,2011-08,724216.5,737558.98
19,3,naive,2011-09,1028320.38,737558.98
20,1,linreg_dummies,2011-08,724216.5,673477.94
20,2,linreg_dummies,2011-09,1028320.38,868683.34
20,3,linreg_dummies,2011-10,1103314.25,1093861.45
20,1,loglin_fourier,2011-08,724216.5,735915.95
20,2,loglin_fourier,2011-09,1028320.38,946888.41
20,3,loglin_fourier,2011-10,1103314.25,1162755.78
20,1,seasonal_naive,2011-08,724216.5,674037.72
20,2,seasonal_naive,2011-09,1028320.38,869243.12
20,3,seasonal_naive,2011-10,1103314.25,1094421.23
20,1,naive,2011-08,724216.5,688219.34
20,2,naive,2011-09,1028320.38,688219.34
20,3,naive,2011-10,1103314.25,688219.34
21,1,linreg_dummies,2011-09,1028320.38,874320.96
21,2,linreg_dummies,2011-10,1103314.25,1099499.07
21,3,linreg_dummies,2011-11,1451578.98,1434778.62
21,1,loglin_fourier,2011-09,1028320.38,942201.0
21,2,loglin_fourier,2011-10,1103314.25,1158725.82
21,3,loglin_fourier,2011-11,1451578.98,1139706.67
21,1,seasonal_naive,2011-09,1028320.38,869243.12
21,2,seasonal_naive,2011-10,1103314.25,1094421.23
21,3,seasonal_naive,2011-11,1451578.98,1429700.78
21,1,naive,2011-09,1028320.38,724216.5
21,2,naive,2011-10,1103314.25,724216.5
21,3,naive,2011-11,1451578.98,724216.5
22,1,linreg_dummies,2011-10,1103314.25,1114899.01
22,2,linreg_dummies,2011-11,1451578.98,1450178.56
22,1,loglin_fourier,2011-10,1103314.25,1190541.51
22,2,loglin_fourier,2011-11,1451578.98,1162529.45
22,1,seasonal_naive,2011-10,1103314.25,1094421.23
22,2,seasonal_naive,2011-11,1451578.98,1429700.78
22,1,naive,2011-10,1103314.25,1028320.38
22,2,naive,2011-11,1451578.98,1028320.38
23,1,linreg_dummies,2011-11,1451578.98,1449125.4
23,1,loglin_fourier,2011-11,1451578.98,1135456.58
23,1,seasonal_naive,2011-11,1451578.98,1429700.78
23,1,naive,2011-11,1451578.98,1103314.25
